# ----------------------------------------
# Vue d'ensemble "Comprendre le trafic Web et/ou dans votre application"
# Compte : H Sèchement
# Propriété : H Sèchement 
# ----------------------------------------
#  
# Date de début : 20250101
# Date de fin : 20250726
Identifiant du pays,Utilisateurs actifs
Entry # 763 - Détection et assèchement de l’humidité en Suisse Romande,1
"H-Drying: Drying and moisture management, water damage.",1
Politique de cookies | H-Sèchement,1
Privacy Policy - Détection et assèchement de l’humidité en Suisse Romande,1

#  
# Date de début : 20250101
# Date de fin : 20250726
Nième jour,UAJ/UAM,UAJ/UAS,UAS/UAM
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,0,0,0
0014,0,0,0
0015,0,0,0
0016,0,0,0
0017,0,0,0
0018,0,0,0
0019,0,0,0
0020,0,0,0
0021,0,0,0
0022,0,0,0
0023,0,0,0
0024,0,0,0
0025,0,0,0
0026,0,0,0
0027,0,0,0
0028,0,0,0
0029,0,0,0
0030,0,0,0
0031,0,0,0
0032,0,0,0
0033,0,0,0
0034,0,0,0
0035,0,0,0
0036,0,0,0
0037,0,0,0
0038,0,0,0
0039,0,0,0
0040,0,0,0
0041,0,0,0
0042,0,0,0
0043,1,1,1
0044,0,0,1
0045,0,0,1
0046,0,0,1
0047,0.13636363636363635,0.13636363636363635,1
0048,0.15384615384615385,0.15384615384615385,1
0049,0.07142857142857142,0.07142857142857142,1
0050,0.1,0.2727272727272727,0.36666666666666664
0051,0.09375,0.23076923076923078,0.40625
0052,0.03125,0.07692307692307693,0.40625
0053,0,0,0.40625
0054,0.16666666666666666,0.42857142857142855,0.3888888888888889
0055,0.10810810810810811,0.3333333333333333,0.32432432432432434
0056,0.10256410256410256,0.2857142857142857,0.358974358974359
0057,0.15,0.46153846153846156,0.325
0058,0.22727272727272727,0.625,0.36363636363636365
0059,0.15555555555555556,0.4117647058823529,0.37777777777777777
0060,0,0,0.37777777777777777
0061,0.16326530612244897,0.42105263157894735,0.3877551020408163
0062,0.1568627450980392,0.4,0.39215686274509803
0063,0.038461538461538464,0.09523809523809523,0.40384615384615385
